SAMPLE_ID	CTBP1	AR
TCGA-KK-A6E5-01	0.1533	-0.692
TCGA-KK-A6E6-01	0.9752	-0.7097
TCGA-FC-A6HD-01	0.6837	-0.979
TCGA-G9-6347-01	0.788	-1.1367
TCGA-G9-6379-01	1.1644	-1.1137
TCGA-HC-A6HX-01	0.6338	-1.0931
TCGA-HC-A6HY-01	1.9607	-1.0189
TCGA-J4-A6M7-01	0.6832	-0.2389
TCGA-KK-A6E7-01	-1.3516	-0.8702
TCGA-KK-A6E8-01	-1.8773	-0.9665
TCGA-QU-A6IL-01	0.1065	-1.1381
TCGA-QU-A6IM-01	0.1742	-1.108
TCGA-QU-A6IN-01	2.995	-1.101
TCGA-QU-A6IO-01	-0.3447	-1.112
TCGA-QU-A6IP-01	1.0289	-0.8258
TCGA-EJ-7218-01	-0.9066	-0.0702
TCGA-EJ-7312-01	0.7037	-0.8714
TCGA-EJ-7318-01	1.7718	-0.9727
TCGA-EJ-7325-01	1.8605	-0.9759
TCGA-EJ-A6RC-01	0.2017	-0.1809
TCGA-KK-A7AU-01	0.5876	-0.4125
TCGA-KK-A7AV-01	-0.0419	-0.7259
TCGA-KK-A7AW-01	0.5493	-1.0533
TCGA-KK-A7AZ-01	3.0775	-0.6267
TCGA-KK-A7B0-01	0.0978	-1.0778
TCGA-KK-A7B1-01	0.6829	-0.1765
TCGA-KK-A7B2-01	0.184	-1.0211
TCGA-KK-A7B4-01	0.8908	-0.1141
TCGA-M7-A71Y-01	-0.0349	-0.8385
TCGA-M7-A71Z-01	3.3407	-0.8914
TCGA-M7-A720-01	-0.1463	-0.4546
TCGA-M7-A721-01	-0.1126	-0.1806
TCGA-M7-A723-01	-0.4785	-1.0995
TCGA-M7-A724-01	4.1952	-0.888
TCGA-M7-A725-01	0.2465	0.1712
TCGA-EJ-A6RA-01	0.3165	-0.9225
TCGA-EJ-A7NF-01	1.9454	-0.6899
TCGA-EJ-A7NG-01	-0.2281	-0.302
TCGA-EJ-A7NH-01	0.1077	0.0855
TCGA-EJ-A7NM-01	0.6248	-0.6861
TCGA-EJ-A7NN-01	-1.515	0.3762
TCGA-HC-A76W-01	-0.1351	-0.1333
TCGA-HC-A76X-01	0.4591	-0.0861
TCGA-KC-A7F3-01	-0.5116	-0.6476
TCGA-KC-A7F5-01	-0.4821	-0.8998
TCGA-KC-A7F6-01	1.9855	-0.729
TCGA-KC-A7FA-01	1.2838	-0.7018
TCGA-KC-A7FD-01	0.6719	-0.1954
TCGA-KC-A7FE-01	-0.3562	-0.4488
TCGA-KK-A7AP-01	-0.244	-0.1775
TCGA-KK-A7AQ-01	0.6087	-0.8923
TCGA-KK-A7AY-01	0.9568	-1.0816
TCGA-KK-A7B3-01	1.5492	-0.7761
TCGA-SU-A7E7-01	0.1388	0.3652
TCGA-EJ-A7NJ-01	-0.0279	0.1799
TCGA-EJ-A7NK-01	0.0596	-0.3386
TCGA-EJ-A8FN-01	-0.1252	-0.3049
TCGA-EJ-A8FS-01	-0.5932	1.0138
TCGA-J4-A83K-01	1.0587	-0.2207
TCGA-J4-A83L-01	-0.2078	-0.1229
TCGA-J4-A83M-01	1.2727	-0.148
TCGA-J4-A83N-01	-0.3886	-0.6628
TCGA-J9-A8CK-01	0.7322	-0.8718
TCGA-J9-A8CL-01	0.8501	0.2039
TCGA-J9-A8CM-01	1.3543	-0.6614
TCGA-J9-A8CN-01	-1.7288	-0.2895
TCGA-J9-A8CP-01	-0.3015	-0.5636
TCGA-KK-A8IJ-01	-1.4844	0.1021
TCGA-VN-A88I-01	-0.327	-0.9255
TCGA-VN-A88K-01	0.6393	0.3444
TCGA-VN-A88L-01	1.1916	-0.8565
