Hybridization REF	CTBP1|1487	AR|367
TCGA-EJ-A46D-01A-21R-A32Y-07	4099.7319	300.1166
TCGA-KK-A7AU-01A-11R-A32O-07	4098.8851	400.8343
TCGA-VP-A879-01A-11R-A352-07	4096.6365	616.8288
TCGA-G9-6354-01A-11R-A311-07	4066.7918	43.7998
TCGA-KK-A7AW-01A-11R-A32O-07	4062.362	58.8235
TCGA-EJ-5501-01A-01R-1580-07	4060.6538	1022.0631
TCGA-XK-AAIW-01A-11R-A41O-07	4058.372	1184.6207
TCGA-V1-A9OY-01A-11R-A41O-07	4055.7942	232.6128
TCGA-ZG-A9L2-01A-31R-A41O-07	4055.4477	268.497
TCGA-HC-7077-01A-11R-1965-07	4052.3287	752.6965
TCGA-G9-6496-01A-11R-1789-07	4043.6063	153.7356
TCGA-CH-5769-11A-01R-1580-07	4014.7173	467.9144
TCGA-XJ-A9DQ-01A-11R-A37L-07	4013.0085	104.988
TCGA-YL-A8SP-01B-11R-A37L-07	3986.0643	1325.4338
TCGA-HC-A76X-01A-11R-A33R-07	3976.3876	575.0598
TCGA-EJ-A8FO-01A-21R-A36G-07	3965.2295	572.2016
TCGA-G9-6342-01A-11R-1965-07	3960.178	340.7811
TCGA-EJ-A65B-01A-12R-A30B-07	3947.2355	46.6583
TCGA-HC-7752-11A-01R-2118-07	3939.7271	301.9554
TCGA-ZG-A8QZ-01A-11R-A37L-07	3938.1472	347.4919
TCGA-EJ-5510-01A-01R-1580-07	3910.1577	998.1402
TCGA-G9-6377-01A-11R-1965-07	3902.455	294.2279
TCGA-G9-6329-01A-13R-1965-07	3895.9174	141.7792
TCGA-XQ-A8TA-01A-11R-A36G-07	3894.094	4759.2573
TCGA-HC-7075-01A-11R-1965-07	3893.7555	943.9828
TCGA-HC-A632-01A-11R-A29R-07	3891.9842	192.4302
TCGA-V1-A9O9-01A-11R-A41O-07	3886.406	581.6482
TCGA-G9-6385-01A-11R-1789-07	3886.3057	460.0142
TCGA-EJ-A46G-01A-31R-A26U-07	3880.3913	1100
TCGA-HC-7230-01A-11R-2118-07	3873.8945	1260.5812
TCGA-G9-6332-01A-11R-1789-07	3873.4504	138.2792
TCGA-YL-A9WI-01A-11R-A37L-07	3867.0536	1301.033
TCGA-2A-AAYO-01A-11R-A41O-07	3863.613	317.7766
TCGA-G9-6356-01A-11R-1789-07	3861.5303	456.7948
TCGA-G9-6351-01A-21R-1965-07	3859.2535	234.4032
